"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Cluster_66" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_67" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Halomonadaceae" "Halomonas" "Multi-affiliation"
"Cluster_76" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Rickettsia secondary endosymbiont of Archarius pictus"
"Cluster_80" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Enterobacterales" "Multi-affiliation" "M.-aff. ASV (Enterobacterales order)" "Multi-affiliation"
"Cluster_82" "Bacteria" "Bacillota" "Clostridia" "Peptostreptococcales-Tissierellales" "Family XI" "Peptoniphilus" "Peptoniphilus indolicus"
"Cluster_83" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Xanthomonas" "Multi-affiliation"
"Cluster_84" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "M.-aff. ASV (Comamonadaceae family)" "Multi-affiliation"
"Cluster_86" "Bacteria" "Bacillota" "Clostridia" "Peptostreptococcales-Tissierellales" "Family XI" "Helcococcus" "Helcococcus ovis"
"Cluster_87" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Francisellales" "Francisellaceae" "Francisella" "Multi-affiliation"
"Cluster_88" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium" "Multi-affiliation"
"Cluster_89" "Bacteria" "Bacillota" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" "Multi-affiliation"
"Cluster_90" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium" "Multi-affiliation"
"Cluster_92" "Bacteria" "Actinomycetota" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Trueperella" "Multi-affiliation"
"Cluster_94" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" "Multi-affiliation"
"Cluster_95" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium" "Multi-affiliation"
"Cluster_96" "Bacteria" "Fusobacteriota" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" "Multi-affiliation"
"Cluster_97" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" "Multi-affiliation"
"Cluster_101" "Bacteria" "Bacillota" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" "Streptococcus dysgalactiae"
"Cluster_102" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_103" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium" "Corynebacterium sp."
"Cluster_105" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" "Multi-affiliation"
"Cluster_107" "Bacteria" "Bacillota" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" "Multi-affiliation"
"Cluster_108" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Caenimonas" "metagenome"
"Cluster_109" "Bacteria" "Bacteroidota" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Porphyromonas" "unknown species"
"Cluster_114" "Bacteria" "Actinomycetota" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides" "Multi-affiliation"
"Cluster_121" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_122" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" "Multi-affiliation"
"Cluster_123" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Francisellales" "Francisellaceae" "Francisella" "Multi-affiliation"
"Cluster_124" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Francisellales" "Francisellaceae" "Francisella" "Multi-affiliation"
"Cluster_127" "Bacteria" "Bacillota" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" "unknown species"
"Cluster_129" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium" "Multi-affiliation"
"Cluster_130" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_131" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium" "Multi-affiliation"
"Cluster_139" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Acinetobacter" "Multi-affiliation"
"Cluster_143" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_145" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" "Multi-affiliation"
"Cluster_148" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_152" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_155" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Francisellales" "Francisellaceae" "Francisella" "Multi-affiliation"
"Cluster_161" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_165" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Rickettsia montanensis"
"Cluster_166" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Caenimonas" "metagenome"
"Cluster_176" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_189" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" "Multi-affiliation"
"Cluster_191" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_196" "Bacteria" "Bacillota" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" "unknown species"
"Cluster_200" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Francisellales" "Francisellaceae" "Francisella" "Multi-affiliation"
"Cluster_202" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_203" "Bacteria" "Bacillota" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" "Multi-affiliation"
"Cluster_211" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Francisellales" "Francisellaceae" "Francisella" "Multi-affiliation"
"Cluster_221" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "M.-aff. ASV (Comamonadaceae family)" "Multi-affiliation"
"Cluster_224" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_227" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_353" "Bacteria" "Bacillota" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" "Multi-affiliation"
